MsgID.STATE,0.0000000,False,False
MsgID.LOCAL_VELOCITY,0.0000000,2.0800000,0.1600000,0.0600000
MsgID.LOCAL_POSITION,46.5180000,10.3984451,0.1129583,-4.9546223
MsgID.LOCAL_VELOCITY,46.5180000,2.0870445,0.1603623,0.0626807
MsgID.GLOBAL_POSITION,0.0000000,-122.3974523,37.7925763,4.9650000
MsgID.LOCAL_VELOCITY,0.0000000,1.9100000,0.0100000,0.1200000
MsgID.LOCAL_POSITION,46.7680000,10.6533260,0.0865132,-4.9653254
MsgID.LOCAL_VELOCITY,46.7680000,1.9118067,0.0132320,0.1216281
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974534,37.7925813,4.9670000
MsgID.LOCAL_VELOCITY,0.0000000,2.1600000,-0.0600000,0.1100000
MsgID.LOCAL_POSITION,47.0190000,11.2135906,-0.0126608,-4.9672742
MsgID.LOCAL_VELOCITY,47.0190000,2.1667187,-0.0682003,0.1156787
MsgID.GLOBAL_POSITION,0.0000000,-122.3974535,37.7925872,4.9660000
MsgID.LOCAL_VELOCITY,0.0000000,2.1400000,-0.0300000,0.2000000
MsgID.LOCAL_POSITION,47.2690000,11.8632269,-0.0239986,-4.9669752
MsgID.LOCAL_VELOCITY,47.2690000,2.1407413,-0.0304462,0.2012434
MsgID.GLOBAL_POSITION,0.0000000,-122.3974525,37.7925928,4.9610000
MsgID.LOCAL_VELOCITY,0.0000000,2.1000000,0.0000000,0.1600000
MsgID.LOCAL_POSITION,47.5190000,12.4883995,0.0635716,-4.9613509
MsgID.LOCAL_VELOCITY,47.5190000,2.1019557,0.0068736,0.1601399
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7925957,4.9550000
MsgID.LOCAL_VELOCITY,0.0000000,1.7900000,-0.0400000,0.0600000
MsgID.LOCAL_POSITION,47.7690000,12.8100462,0.1568668,-4.9555163
MsgID.LOCAL_VELOCITY,47.7690000,1.7981070,-0.0492720,0.0677942
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974537,37.7926000,4.9560000
MsgID.LOCAL_VELOCITY,0.0000000,1.9600000,-0.1400000,0.0900000
MsgID.LOCAL_POSITION,48.0190000,13.2897959,-0.0348689,-4.9564204
MsgID.LOCAL_VELOCITY,48.0190000,1.9689162,-0.1444223,0.0945216
MsgID.GLOBAL_POSITION,0.0000000,-122.3974549,37.7926043,4.9470000
MsgID.LOCAL_VELOCITY,0.0000000,1.9500000,-0.0500000,0.0000000
MsgID.LOCAL_POSITION,48.2690000,13.7637148,-0.1491875,-4.9475703
MsgID.LOCAL_VELOCITY,48.2690000,1.9515209,-0.0570752,0.0049979
MsgID.GLOBAL_POSITION,0.0000000,-122.3974543,37.7926095,4.9390000
MsgID.LOCAL_VELOCITY,0.0000000,2.1100000,0.1100000,-0.0100000
MsgID.LOCAL_POSITION,48.5190000,14.3395023,-0.0948856,-4.9396672
MsgID.LOCAL_VELOCITY,48.5190000,2.1129436,0.1103100,-0.0114655
MsgID.GLOBAL_POSITION,0.0000000,-122.3974537,37.7926137,4.9330000
MsgID.LOCAL_VELOCITY,0.0000000,1.9600000,0.1400000,-0.0900000
MsgID.LOCAL_POSITION,48.7690000,14.8103647,-0.0429346,-4.9339447
MsgID.LOCAL_VELOCITY,48.7690000,1.9654367,0.1444250,-0.0977421
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974534,37.7926186,4.9440000
MsgID.LOCAL_VELOCITY,0.0000000,2.0600000,0.1000000,-0.0700000
MsgID.LOCAL_POSITION,49.0190000,15.3520689,-0.0088869,-4.9446454
MsgID.LOCAL_VELOCITY,49.0190000,2.0649040,0.1082069,-0.0777833
MsgID.GLOBAL_POSITION,0.0000000,-122.3974531,37.7926227,4.9550000
MsgID.LOCAL_VELOCITY,0.0000000,1.9200000,0.0600000,-0.0500000
MsgID.LOCAL_POSITION,49.2690000,15.8128033,0.0106476,-4.9555345
MsgID.LOCAL_VELOCITY,49.2690000,1.9280462,0.0638134,-0.0547941
MsgID.GLOBAL_POSITION,0.0000000,-122.3974530,37.7926275,4.9550000
MsgID.LOCAL_VELOCITY,0.0000000,2.0400000,0.0100000,0.0000000
MsgID.LOCAL_POSITION,49.5200000,16.3475094,0.0213271,-4.9557247
MsgID.LOCAL_VELOCITY,49.5200000,2.0405192,0.0170070,-0.0030075
MsgID.GLOBAL_POSITION,0.0000000,-122.3974527,37.7926317,4.9640000
